Years,Sectors,Province,GDP Growth Sector,Total GDP Province
2018-2019,"Agriculture, Forestry, and Fishing",Abra,0.8,4.3
2018-2019,Mining and Quarrying,Abra,-5,4.3
2018-2019,Manufacturing,Abra,-2.1,4.3
2018-2019,"Electricity, Steam, Water and Waste Management",Abra,8.7,4.3
2018-2019,Construction,Abra,1.9,4.3
2018-2019,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Abra,5.6,4.3
2018-2019,Transportation and Storage,Abra,3,4.3
2018-2019,Accommodation and Food Service Activities,Abra,3.5,4.3
2018-2019,Information and Communication,Abra,9.2,4.3
2018-2019,Financial and Insurance Activities,Abra,19.5,4.3
2018-2019,Real Estate and Ownership of Dwellings,Abra,4,4.3
2018-2019,Professional and Business Services,Abra,3.4,4.3
2018-2019,Public Administration and Defense; Compulsory Social Activities,Abra,-2.5,4.3
2018-2019,Education,Abra,7.8,4.3
2018-2019,Human Health and Social Work Activities,Abra,4.7,4.3
2019-2020,"Agriculture, Forestry, and Fishing",Abra,3.3,1.2
2019-2020,Mining and Quarrying,Abra,12.5,1.2
2019-2020,Manufacturing,Abra,-22.8,1.2
2019-2020,"Electricity, Steam, Water and Waste Management",Abra,12.8,1.2
2019-2020,Construction,Abra,12.7,1.2
2019-2020,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Abra,-1.3,1.2
2019-2020,Transportation and Storage,Abra,-14.3,1.2
2019-2020,Accommodation and Food Service Activities,Abra,-6.8,1.2
2019-2020,Information and Communication,Abra,9.5,1.2
2019-2020,Financial and Insurance Activities,Abra,11,1.2
2019-2020,Real Estate and Ownership of Dwellings,Abra,-7.4,1.2
2019-2020,Professional and Business Services,Abra,-5.3,1.2
2019-2020,Public Administration and Defense; Compulsory Social Activities,Abra,2.4,1.2
2019-2020,Education,Abra,-5.5,1.2
2019-2020,Human Health and Social Work Activities,Abra,10.2,1.2
2020-2021,"Agriculture, Forestry, and Fishing",Abra,14.8,12.5
2020-2021,Mining and Quarrying,Abra,6,12.5
2020-2021,Manufacturing,Abra,15.2,12.5
2020-2021,"Electricity, Steam, Water and Waste Management",Abra,8.5,12.5
2020-2021,Construction,Abra,19.8,12.5
2020-2021,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Abra,6.3,12.5
2020-2021,Transportation and Storage,Abra,7.8,12.5
2020-2021,Accommodation and Food Service Activities,Abra,12.3,12.5
2020-2021,Information and Communication,Abra,9.1,12.5
2020-2021,Financial and Insurance Activities,Abra,10.7,12.5
2020-2021,Real Estate and Ownership of Dwellings,Abra,2.6,12.5
2020-2021,Professional and Business Services,Abra,5.6,12.5
2020-2021,Public Administration and Defense; Compulsory Social Activities,Abra,14.7,12.5
2020-2021,Education,Abra,11.5,12.5
2020-2021,Human Health and Social Work Activities,Abra,21.2,12.5
2021-2022,"Agriculture, Forestry, and Fishing",Abra,-4.9,14.6
2021-2022,Mining and Quarrying,Abra,10.7,14.6
2021-2022,Manufacturing,Abra,11.7,14.6
2021-2022,"Electricity, Steam, Water and Waste Management",Abra,11.6,14.6
2021-2022,Construction,Abra,29.2,14.6
2021-2022,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Abra,18.5,14.6
2021-2022,Transportation and Storage,Abra,29.2,14.6
2021-2022,Accommodation and Food Service Activities,Abra,22.3,14.6
2021-2022,Information and Communication,Abra,4.8,14.6
2021-2022,Financial and Insurance Activities,Abra,20.1,14.6
2021-2022,Real Estate and Ownership of Dwellings,Abra,2.9,14.6
2021-2022,Professional and Business Services,Abra,10.6,14.6
2021-2022,Public Administration and Defense; Compulsory Social Activities,Abra,7,14.6
2021-2022,Education,Abra,12.1,14.6
2021-2022,Human Health and Social Work Activities,Abra,13,14.6
2018-2019,"Agriculture, Forestry, and Fishing",Apayao,-2.7,3
2018-2019,Mining and Quarrying,Apayao,-8.2,3
2018-2019,Manufacturing,Apayao,-4.2,3
2018-2019,"Electricity, Steam, Water and Waste Management",Apayao,8.6,3
2018-2019,Construction,Apayao,1.5,3
2018-2019,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Apayao,4.5,3
2018-2019,Transportation and Storage,Apayao,5.1,3
